lucode,LULC_desc,load_n,load_p,eff_n,eff_p,crit_len_n,crit_len_p,proportion_subsurface_n,,,,,,,, 
10,NonIrrigatedArableLand,64.71,25.34,0.25,0.74,150,150,0,,,,,,,,
11,NonIrrigatedArableLandHerbaceous,64.71,25.34,0.25,0.74,150,150,0,,,,,,,,
12,PermanentCropland,64.71,25.34,0.25,0.74,150,150,0,,,,,,,,
20,PermanentlyIrrigatedArableLand,64.71,25.34,0.25,0.74,150,150,0,,,,,,,,
30,ComplexCultivationPatternedLand,43.14,16.89,0.25,0.87,150,150,0,,,,,,,,
40,AgriculturalLandWithNaturalVegetation,21.57,8.45,0.25,0.87,150,150,0,,,,,,,,
50,EvergreenBroadleafForest,5,1.3,0.8,0.84,150,150,0,,,,,,,,
60,DeciduousBroadleafForest,5,1.3,0.8,0.84,150,150,0,,,,,,,,
61,ClosedDeciduousBroadleafForest,5,1.3,0.8,0.84,150,150,0,,,,,,,,
62,OpenDeciduousBroadleafForest,5,1.3,0.8,0.84,150,150,0,,,,,,,,
70,EvergreenConiferousForest,5,1.3,0.8,0.84,150,150,0,,,,,,,,
71,ClosedEvergreenConiferousForest,5,1.3,0.8,0.84,150,150,0,,,,,,,,
72,OpenEvergreenConiferousForest,5,1.3,0.8,0.84,150,150,0,,,,,,,,
80,DeciduousConiferousForest,5,1.3,0.8,0.84,150,150,0,,,,,,,,
81,ClosedDeciduousConiferousForest,5,1.3,0.8,0.84,150,150,0,,,,,,,,
82,OpenDeciduousConiferousForest,5,1.3,0.8,0.84,150,150,0,,,,,,,,
90,MixedForest,5,1.3,0.8,0.84,150,150,0,,,,,,,,
100,ClosedSavanna,6,0.1,0.6,0.5,150,150,0,,,,,,,,
110,OpenSavanna,6,0.1,0.6,0.5,150,150,0,,,,,,,,
120,Shrubland,6,0.1,0.6,0.5,150,150,0,,,,,,,,
121,EvergreenShrubland,6,0.1,0.6,0.5,150,150,0,,,,,,,,
122,DeciduousShrubland,6,0.1,0.6,0.5,150,150,0,,,,,,,,
130,Grassland,7.5,0.4,0.4,0.5,150,150,0,,,,,,,,
140,LichenMoss,10,0.6,0.8,0.05,150,150,0,,,,,,,,
150,SparseVegetation,6,0.6,0.3,0.05,150,150,0,,,,,,,,
151,SparseTreeCover,6,0.6,0.3,0.05,150,150,0,,,,,,,,
152,SparseShrubCover,6,0.6,0.3,0.05,150,150,0,,,,,,,,
153,SparseHerbaceousCover,6,0.6,0.3,0.05,150,150,0,,,,,,,,
160,Wetland,5,1.9,0.8,0.4,150,150,0,,,,,,,,
170,Mangrove,5,1.9,0.8,0.4,150,150,0,,,,,,,,
180,InlandMarsh,5,1.9,0.8,0.4,150,150,0,,,,,,,,
190,ArtificialSurface,7,2,0.05,0.52,150,150,0,,,,,,,,
200,BareArea,0.01,0.6,0.05,0.05,150,150,0,,,,,,,,
201,BareRock,0.01,0.6,0.05,0.05,150,150,0,,,,,,,,
202,BeachDuneAndSand,0.01,0.6,0.05,0.05,150,150,0,,,,,,,,
210,WaterBody,0,0.6,0.02,0.05,150,150,0,,,,,,,,
220,GlacierAndPerpetualSnow,0,0,0.02,0,150,150,0,,,,,,,,
