lucode,LULC_desc,load_n,load_p,eff_n,eff_p,crit_len_n,crit_len_p,proportion_subsurface_n
1,HighDensityUrban,7,2,0.05,0.52,150,150,0
2,MediumDensityUrban,7,2,0.05,0.52,150,150,0
3,IndustrialCommericalUnit,7,2,0.05,0.52,150,150,0
4,RoadRailNetwork,7,2,0.05,0.52,150,150,0
5,Port,7,2,0.05,0.52,150,150,0
6,Airport,7,2,0.05,0.52,150,150,0
7,MineralExtraction,7,2,0.05,0.52,150,150,0
8,Dump,7,2,0.05,0.52,150,150,0
9,Construction,7,2,0.05,0.52,150,150,0
10,GreenUrbanArea,7,2,0.05,0.52,150,150,0
11,SportLeisureFacility,7,2,0.05,0.52,150,150,0
12,NonIrrigatedArableLand,64.71,25.34,0.25,0.74,150,150,0
13,PermanentlyIrrigatedArableLand,64.71,25.34,0.25,0.74,150,150,0
14,RiceField,64.71,25.34,0.25,0.74,150,150,0
15,Vineyard,64.71,25.34,0.25,0.74,150,150,0
16,FruitAndBerryPlantation,64.71,25.34,0.25,0.74,150,150,0
17,OliveGrove,64.71,25.34,0.25,0.74,150,150,0
18,Pastureland,64,0.4,0.4,0.5,150,150,0
19,AnnualCroplandAssociatedWithPermanent,43.14,16.89,0.25,0.87,150,150,0
20,ComplexCultivationPatternedLand,43.14,16.89,0.25,0.87,150,150,0
21,AgriculturalLandWithNaturalVegetation,21.57,8.45,0.25,0.87,150,150,0
22,AgroForestryLand,5,1.3,0.8,0.84,150,150,0
23,BroadleafForest,5,1.3,0.8,0.84,150,150,0
24,ConiferousForest,5,1.3,0.8,0.84,150,150,0
25,MixedForest,5,1.3,0.8,0.84,150,150,0
26,Grassland,7.5,0.4,0.4,0.5,150,150,0
27,MoorAndHeathland,6,0.6,0.3,0.05,150,150,0
28,SclerophyllousVegetation,6,0.6,0.3,0.05,150,150,0
29,TransitionalWoodlandScrub,6,0.6,0.3,0.05,150,150,0
30,BeachDuneAndSand,0.01,0.6,0.05,0.05,150,150,0
31,BareRock,0.01,0.6,0.05,0.05,150,150,0
32,SparseVegetation,6,0.6,0.3,0.05,150,150,0
33,BurnedLand,5,1.3,0.8,0.84,150,150,0
34,GlacierAndPerpetualSnow,0,0,0.02,0,150,150,0
35,InlandMarsh,5,1.9,0.8,0.4,150,150,0
36,PeatBog,5,1.9,0.8,0.4,150,150,0
37,SaltMarsh,5,1.9,0.8,0.4,150,150,0
38,Saline,5,1.9,0.8,0.4,150,150,0
39,IntertidalFlat,5,1.9,0.8,0.4,150,150,0
40,Watercourse,0,0.6,0.02,0.05,150,150,0
41,StillWaterBody,0,0.6,0.02,0.05,150,150,0
42,CoastalLagoon,0,0.6,0.02,0.05,150,150,0
43,Estuary,0,0.6,0.02,0.05,150,150,0
44,SeaAndOcean,0,0.6,0.02,0.05,150,150,0
