LULC_desc,lucode,usle_c,usle_p
HighDensityUrban,1,0.100,1
MediumDensityUrban,2,0.100,1
IndustrialCommericalUnit,3,0.100,1
RoadRailNetwork,4,0.100,1
Port,5,0.100,1
Airport,6,0.100,1
MineralExtraction,7,0.000,1
Dump,8,0.100,1
Construction,9,0.100,1
GreenUrbanArea,10,0.100,1
SportLeisureFacility,11,0.100,1
NonIrrigatedArableLand,12,0.500,0.5
PermanentlyIrrigatedArableLand,13,0.500,0.5
RiceField,14,0.500,0.5
Vineyard,15,0.150,1
FruitAndBerryPlantation,16,0.150,1
OliveGrove,17,0.150,1
Pastureland,18,0.080,1
AnnualCroplandAssociatedWithPermanent,19,0.250,0.8
ComplexCultivationPatternedLand,20,0.250,0.8
AgriculturalLandWithNaturalVegetation,21,0.250,0.8
AgroForestryLand,22,0.250,0.8
BroadleafForest,23,0.001,1
ConiferousForest,24,0.001,1
MixedForest,25,0.001,1
Grassland,26,0.080,1
MoorAndHeathland,27,0.080,1
SclerophyllousVegetation,28,0.080,1
TransitionalWoodlandScrub,29,0.010,1
BeachDuneAndSand,30,0.350,1
BareRock,31,0.000,1
SparseVegetation,32,0.010,1
BurnedLand,33,0.350,1
GlacierAndPerpetualSnow,34,0.000,1
InlandMarsh,35,0.060,1
PeatBog,36,0.060,1
SaltMarsh,37,0.060,1
Saline,38,0.060,1
IntertidalFlat,39,0.060,1
Watercourse,40,0.000,1
StillWaterBody,41,0.000,1
CoastalLagoon,42,0.000,1
Estuary,43,0.000,1
SeaAndOcean,44,0.000,1
